Country,Year,Status,AvgLifeExpectancy,AvgHepatitisB,AvgMeasles,AvgPolio,AvgDiphtheria
India,2015,Developing,68,87,90387,86,87
India,2014,Developing,68,79,79563,84,85
India,2013,Developing,68,7,13822,82,83
India,2012,Developing,67,73,18668,79,82
India,2011,Developing,67,44,33634,79,82
India,2010,Developing,66,38,31458,76,79
India,2009,Developing,66,37,56188,73,74
India,2008,Developing,66,29,44258,69,7
India,2007,Developing,65,6,41144,67,64
India,2006,Developing,65,6,64185,66,65
India,2005,Developing,64,8,36711,65,65
India,2004,Developing,64,6,55443,58,63
India,2003,Developing,64,10,47147,57,61
India,2002,Developing,63,5,40044,58,59
India,2001,Developing,63,8,51780,58,59
India,2000,Developing,62,7,38835,57,58
Afghanistan,2015,Developing,65,65,1154,6,65
Afghanistan,2014,Developing,60,62,492,58,62
Afghanistan,2013,Developing,60,64,430,62,64
Afghanistan,2012,Developing,60,67,2787,67,67
Afghanistan,2011,Developing,59,68,3013,68,68
Afghanistan,2010,Developing,59,66,1989,66,66
Afghanistan,2009,Developing,59,63,2861,63,63
Afghanistan,2008,Developing,58,64,1599,64,64
Afghanistan,2007,Developing,58,63,1141,63,63
Afghanistan,2006,Developing,57,64,1990,58,58
Afghanistan,2005,Developing,57,66,1296,58,58
Afghanistan,2004,Developing,57,67,466,5,5
Afghanistan,2003,Developing,57,65,798,41,41
Afghanistan,2002,Developing,56,64,2486,36,36
Afghanistan,2001,Developing,55,63,8762,35,33
Afghanistan,2000,Developing,55,62,6532,24,24
Albania,2015,Developing,78,99,0,99,99
Albania,2014,Developing,78,98,0,98,98
Albania,2013,Developing,77,99,0,99,99
Albania,2012,Developing,77,99,9,99,99
Albania,2011,Developing,77,99,28,99,99
Albania,2010,Developing,76,99,10,99,99
Albania,2009,Developing,76,98,0,98,98
Albania,2008,Developing,75,99,0,99,99
Albania,2007,Developing,76,98,22,99,98
Albania,2006,Developing,74,98,68,97,97
Albania,2005,Developing,74,98,6,97,98
Albania,2004,Developing,73,99,7,98,97
Albania,2003,Developing,73,97,8,97,97
Albania,2002,Developing,73,96,16,98,98
Albania,2001,Developing,74,96,18,97,97
Albania,2000,Developing,73,96,662,97,97
Belgium,2015,Developed,81,98,47,99,99
Belgium,2014,Developed,89,98,70,99,99
Belgium,2013,Developed,87,98,39,99,99
Belgium,2012,Developed,83,98,109,99,99
Belgium,2011,Developed,83,97,576,98,98
Belgium,2010,Developed,80,97,40,98,98
Belgium,2009,Developed,80,97,33,98,98
Belgium,2008,Developed,80,98,98,99,99
Belgium,2007,Developed,80,94,64,99,98
Belgium,2006,Developed,79,94,15,99,98
Belgium,2005,Developed,79,77,26,97,97
Belgium,2004,Developed,79,64,61,96,95
Belgium,2003,Developed,78,64,44,96,95
Belgium,2002,Developed,78,6,0,96,95
Belgium,2001,Developed,78,6,83,96,95
Belgium,2000,Developed,78,6,0,96,95
Spain,2015,Developed,83,97,115,97,97
Spain,2014,Developed,83,96,154,97,97
Spain,2013,Developed,82,95,131,96,96
Spain,2012,Developed,82,96,1204,97,97
Spain,2011,Developed,82,97,3802,97,97
Spain,2010,Developed,82,97,302,97,97
Spain,2009,Developed,82,96,41,96,96
Spain,2008,Developed,81,97,297,97,97
Spain,2007,Developed,89,96,267,96,96
Spain,2006,Developed,88,97,362,98,98
Spain,2005,Developed,81,96,22,96,96
Spain,2004,Developed,81,97,26,97,97
Spain,2003,Developed,79,81,256,99,98
Spain,2002,Developed,80,82,67,98,98
Spain,2001,Developed,79,83,0,95,96
Spain,2000,Developed,79,77,152,95,95
Romania,2015,Developed,75,9,4,89,89
Romania,2014,Developed,75,94,59,94,94
Romania,2013,Developed,75,96,1159,88,92
Romania,2012,Developed,74,96,7450,92,91
Romania,2011,Developed,74,96,4189,89,89
Romania,2010,Developed,73,98,193,94,94
Romania,2009,Developed,73,95,8,95,95
Romania,2008,Developed,73,97,12,95,96
Romania,2007,Developed,73,99,353,96,96
Romania,2006,Developed,72,99,3196,97,97
Romania,2005,Developed,72,98,5043,97,97
Romania,2004,Developed,72,99,117,97,97
Romania,2003,Developed,71,98,9,97,97
Romania,2002,Developed,77,99,14,98,98
Romania,2001,Developed,78,98,10,99,99
Romania,2000,Developed,77,98,35,99,99
