Country,Average_Life_Expectancy,Average_Population
India,68,1395398
India,68,1293859294
India,68,127856227
India,67,126365852
India,67,124723629
India,66,12398691
India,66,121427132
India,66,119714696
India,65,1179681239
India,65,1161977719
India,64,1144118674
India,64,1126135777
India,64,11827848
India,63,18987112
India,63,171477855
India,62,1535912
Afghanistan,65,33736494
Afghanistan,60,327582
Afghanistan,60,31731688
Afghanistan,60,3696958
Afghanistan,59,2978599
Afghanistan,59,2883167
Afghanistan,59,284331
Afghanistan,58,2729431
Afghanistan,58,26616792
Afghanistan,57,2589345
Afghanistan,57,257798
Afghanistan,57,24118979
Afghanistan,57,2364851
Afghanistan,56,21979923
Afghanistan,55,2966463
Afghanistan,55,293756
Albania,78,28873
Albania,78,288914
Albania,77,289592
Albania,77,2941
Albania,77,295195
Albania,76,291321
Albania,76,2927519
Albania,75,2947314
Albania,76,29717
Albania,74,2992547
Albania,74,311487
Albania,73,326939
Albania,73,339616
Albania,73,3511
Albania,74,36173
Albania,73,38927
Belgium,81,11274196
Belgium,89,112957
Belgium,87,11182817
Belgium,83,11128246
Belgium,83,1147744
Belgium,80,1895586
Belgium,80,1796493
Belgium,80,179973
Belgium,80,16257
Belgium,79,1547958
Belgium,79,1478617
Belgium,79,1421137
Belgium,78,1376133
Belgium,78,1332785
Belgium,78,128657
Belgium,78,125125
Spain,83,46447697
Spain,83,4648882
Spain,82,466245
Spain,82,4677355
Spain,82,46742697
Spain,82,46576897
Spain,82,46362946
Spain,81,4595416
Spain,89,4522683
Spain,88,44397319
Spain,81,43653155
Spain,81,42921895
Spain,79,42187645
Spain,80,41431558
Spain,79,485412
Spain,79,4567864
Romania,75,19815481
Romania,75,1998979
Romania,75,19983693
Romania,74,25835
Romania,74,2147528
Romania,73,2246871
Romania,73,2367487
Romania,73,2537875
Romania,73,2882982
Romania,72,2119376
Romania,72,21319685
Romania,72,21451748
Romania,71,21574326
Romania,77,2173496
Romania,78,2213197
Romania,77,22442971
