Country,Year,Status,Average_Life_Expectancy,Average_Schooling_Years
India,2015,Developing,68,12
India,2014,Developing,68,12
India,2013,Developing,68,12
India,2012,Developing,67,11
India,2011,Developing,67,11
India,2010,Developing,66,10
India,2009,Developing,66,10
India,2008,Developing,66,10
India,2007,Developing,65,10
India,2006,Developing,65,10
India,2005,Developing,64,9
India,2004,Developing,64,9
India,2003,Developing,64,9
India,2002,Developing,63,8
India,2001,Developing,63,8
India,2000,Developing,62,8
Afghanistan,2015,Developing,65,10
Afghanistan,2014,Developing,60,10
Afghanistan,2013,Developing,60,10
Afghanistan,2012,Developing,60,10
Afghanistan,2011,Developing,59,10
Afghanistan,2010,Developing,59,9
Afghanistan,2009,Developing,59,9
Afghanistan,2008,Developing,58,9
Afghanistan,2007,Developing,58,8
Afghanistan,2006,Developing,57,8
Afghanistan,2005,Developing,57,8
Afghanistan,2004,Developing,57,7
Afghanistan,2003,Developing,57,6
Afghanistan,2002,Developing,56,6
Afghanistan,2001,Developing,55,6
Afghanistan,2000,Developing,55,6
Albania,2015,Developing,78,14
Albania,2014,Developing,78,14
Albania,2013,Developing,77,14
Albania,2012,Developing,77,14
Albania,2011,Developing,77,13
Albania,2010,Developing,76,12
Albania,2009,Developing,76,12
Albania,2008,Developing,75,12
Albania,2007,Developing,76,12
Albania,2006,Developing,74,11
Albania,2005,Developing,74,11
Albania,2004,Developing,73,11
Albania,2003,Developing,73,11
Albania,2002,Developing,73,11
Albania,2001,Developing,74,11
Albania,2000,Developing,73,11
Belgium,2015,Developed,81,17
Belgium,2014,Developed,89,16
Belgium,2013,Developed,87,16
Belgium,2012,Developed,83,16
Belgium,2011,Developed,83,16
Belgium,2010,Developed,80,16
Belgium,2009,Developed,80,16
Belgium,2008,Developed,80,16
Belgium,2007,Developed,80,16
Belgium,2006,Developed,79,16
Belgium,2005,Developed,79,16
Belgium,2004,Developed,79,19
Belgium,2003,Developed,78,19
Belgium,2002,Developed,78,19
Belgium,2001,Developed,78,18
Belgium,2000,Developed,78,18
Spain,2015,Developed,83,18
Spain,2014,Developed,83,18
Spain,2013,Developed,82,18
Spain,2012,Developed,82,17
Spain,2011,Developed,82,17
Spain,2010,Developed,82,16
Spain,2009,Developed,82,16
Spain,2008,Developed,81,16
Spain,2007,Developed,89,16
Spain,2006,Developed,88,16
Spain,2005,Developed,81,16
Spain,2004,Developed,81,16
Spain,2003,Developed,79,16
Spain,2002,Developed,80,16
Spain,2001,Developed,79,16
Spain,2000,Developed,79,16
Romania,2015,Developed,75,15
Romania,2014,Developed,75,15
Romania,2013,Developed,75,15
Romania,2012,Developed,74,15
Romania,2011,Developed,74,16
Romania,2010,Developed,73,16
Romania,2009,Developed,73,15
Romania,2008,Developed,73,15
Romania,2007,Developed,73,14
Romania,2006,Developed,72,14
Romania,2005,Developed,72,13
Romania,2004,Developed,72,13
Romania,2003,Developed,71,12
Romania,2002,Developed,77,12
Romania,2001,Developed,78,12
Romania,2000,Developed,77,12
